"file","statistic"
"data/XOUTPowerSimulations_ar1_0.5_Vn.Rda","Vn"
"data/XOUTPowerSimulations_ar1_0.5_Zn.Rda","Zn"
"data/XOUTPowerSimulations_ar1_0.5_de.Rda","de"
"data/XOUTPowerSimulations_ar1_0.5_hs.Rda","hs"
