Date,Close
1993-01-29,26.706753
1993-02-01,26.896688
1993-02-02,26.953653
1993-02-03,27.238600
1993-02-04,27.352573
1993-02-05,27.333548
1993-02-08,27.333548
1993-02-09,27.143591
1993-02-10,27.181597
1993-02-11,27.314581
1993-02-12,27.105614
1993-02-16,26.421803
1993-02-17,26.402830
1993-02-18,26.383808
1993-02-19,26.478825
1993-02-22,26.573761
1993-02-23,26.554794
1993-02-24,26.896688
1993-02-25,26.953653
1993-02-26,26.991636
1993-03-01,26.915668
1993-03-02,27.314581
1993-03-03,27.428553
1993-03-04,27.276592
1993-03-05,27.200611
1993-03-08,27.808443
1993-03-09,27.713434
1993-03-10,27.770452
1993-03-11,27.694469
1993-03-12,27.409529
1993-03-15,27.542521
1993-03-16,27.542521
1993-03-17,27.371532
1993-03-18,27.542521
1993-03-19,27.500807
1993-03-22,27.348135
1993-03-23,27.405418
1993-03-24,27.405418
1993-03-25,27.577147
1993-03-26,27.424471
1993-03-29,27.538973
1993-03-30,27.615309
1993-03-31,27.596258
1993-04-01,27.500807
1993-04-02,26.928280
1993-04-05,27.061888
1993-04-06,26.985548
1993-04-07,27.080954
1993-04-08,27.042784
1993-04-12,27.424471
1993-04-13,27.481762
1993-04-14,27.443586
1993-04-15,27.443586
1993-04-16,27.443586
1993-04-19,27.329081
1993-04-20,27.195467
1993-04-21,27.176401
1993-04-22,26.832882
1993-04-23,26.718378
1993-04-26,26.508410
1993-04-27,26.794708
1993-04-28,26.737427
1993-04-29,26.851931
1993-04-30,26.890097
1993-05-03,27.061888
1993-05-04,27.157303
1993-05-05,27.233624
1993-05-06,27.138231
1993-05-07,27.080954
1993-05-10,27.138231
1993-05-11,27.252716
1993-05-12,27.214567
1993-05-13,26.890097
1993-05-14,26.871054
1993-05-17,26.966444
1993-05-18,26.947372
1993-05-19,27.500807
1993-05-20,27.577147
1993-05-21,27.329081
1993-05-24,27.443586
1993-05-25,27.500807
1993-05-26,27.844332
1993-05-27,27.748941
1993-05-28,27.615309
1993-06-01,27.882492
1993-06-02,27.844332
1993-06-03,27.748941
1993-06-04,27.653492
1993-06-07,27.558092
1993-06-08,27.309977
1993-06-09,27.405418
1993-06-10,27.424471
1993-06-11,27.538973
1993-06-14,27.500807
1993-06-15,27.443586
1993-06-16,27.500807
1993-06-17,27.596258
1993-06-18,27.369011
1993-06-21,27.426634
1993-06-22,27.445868
1993-06-23,27.196003
1993-06-24,27.561205
1993-06-25,27.541958
1993-06-28,27.849478
1993-06-29,27.714962
1993-06-30,27.714962
1993-07-01,27.638088
1993-07-02,27.484333
1993-07-06,27.196003
1993-07-07,27.272884
1993-07-08,27.580400
1993-07-09,27.657280
1993-07-12,27.638088
1993-07-13,27.618832
1993-07-14,27.714962
