Month,Primary Energy Consumed by the Residential Sector,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Total Energy Consumed by the Industrial Sector,Primary Energy Consumed by the Transportation Sector,Total Energy Consumed by the Transportation Sector,Primary Energy Consumed by the Electric Power Sector,Energy Consumption Balancing Item,Primary Energy Consumption Total
2011 April,466.902,1452.361,293.359,1350.382,1650.519,2495.74,2189.651,2196.264,2894.316,-1.103,7493.644
2011 May,322.486,1377.458,219.318,1381.586,1658.829,2545.024,2264.09,2270.77,3110.114,-0.765,7574.072
2011 June,255.722,1605.869,194.697,1461.116,1641.621,2540.893,2270.418,2277.307,3522.727,2.278,7887.462
2011 July,238.446,1911.179,189.276,1573.757,1651.347,2594.552,2285.758,2292.79,4007.452,6.308,8378.587
2011 August,247.831,1848.997,206.039,1553.393,1745.344,2672.134,2315.894,2322.406,3881.823,4.532,8401.462
2011 September,256.8,1473.041,210.01,1378.995,1669.111,2510.957,2185.024,2191.303,3233.353,0.202,7554.499
2011 October,371.452,1344.102,281.735,1399.013,1734.552,2601.248,2222.976,2229.316,2962.963,-1.393,7572.285
2011 November,589.001,1576.603,368.327,1433.605,1767.979,2624.762,2141.582,2147.83,2915.913,-2.005,7780.796
2011 December,877.516,2116.317,501.825,1618.441,1763.529,2615.174,2217.515,2224.495,3214.041,-1.271,8573.155
2012 January,963.157,2261.989,544.305,1630.153,1859.737,2676.962,2099.899,2106.605,3208.61,-0.341,8675.368
2012 February,810.002,1902.852,470.456,1483.397,1744.384,2536.864,2035.189,2041.557,2904.639,-2.531,7962.139
2012 March,539.191,1550.587,336.829,1379.909,1738.298,2565.827,2176.175,2182.25,2888.08,-5.692,7672.881
2012 April,394.424,1288.849,269.262,1294.988,1658.699,2481.314,2148.5,2154.49,2748.757,-5.529,7214.112
2012 May,280.363,1352.466,210.269,1387.625,1709.276,2609.053,2253.756,2260.078,3155.558,-2.121,7607.102
2012 June,236.245,1524.505,190.784,1427.436,1671.001,2547.267,2220.327,2226.587,3407.437,2.853,7728.648
2012 July,221.776,1854.766,184.063,1541.923,1691.002,2612.394,2267.034,2273.681,3918.89,7.776,8290.541
2012 August,228.952,1741.866,200.423,1510.498,1744.43,2645.429,2318.534,2325.003,3730.458,5.086,8227.882
2012 September,231.102,1411.277,200.088,1357.954,1656.992,2471.971,2117.78,2123.873,3159.114,2.696,7367.771
2012 October,357.123,1334.963,272.906,1390.354,1794.12,2633.646,2207.241,2213.303,2940.878,0.037,7572.303
2012 November,609.7,1620.768,376.36,1434.107,1784.034,2604.577,2100.248,2106.165,2895.274,-0.128,7765.489
2012 December,812.468,2031.055,467.66,1578.832,1831.547,2667.785,2108.89,2115.492,3172.598,0.063,8393.226
2013 January,1075.404,2430.249,586.344,1693.875,1894.355,2722.01,2129.695,2136.52,3296.855,-0.506,8982.147
2013 February,934.491,2066.288,527.723,1538.467,1699.745,2467.111,1937.649,1944.241,2916.499,-1.395,8014.712
2013 March,843.193,1996.393,486.647,1556.668,1775.543,2603.426,2217.636,2224.256,3057.725,-1.574,8379.17
2013 April,516.922,1486.952,323.248,1352.715,1693.423,2507.863,2169.095,2175.488,2820.329,-3.813,7519.205
2013 May,322.876,1322.754,228.972,1370.558,1756.065,2647.81,2271.501,2278.09,3039.799,-2.639,7616.574
2013 June,243.654,1485.63,187.83,1423.788,1691.005,2577.046,2224.497,2231.216,3370.695,2.014,7719.693
2013 July,234.384,1730.235,188.922,1512.74,1771.33,2674.809,2340.594,2347.339,3729.894,5.367,8270.491
2013 August,235.44,1655.433,195.304,1502.145,1752.699,2655.784,2346.413,2353.045,3636.552,4.173,8170.581
2013 September,246.564,1453.064,201.296,1377.872,1773.492,2598.483,2199.191,2205.411,3214.286,0.79,7635.619
2013 October,353.1,1349.648,264.38,1392.066,1846.593,2682.783,2286.051,2292.005,2966.377,-2.264,7714.237
2013 November,664.024,1695.382,414.934,1504.026,1880.283,2719.153,2205.398,2211.448,2965.37,-2.34,8127.669
2013 December,1019.316,2380.846,555.798,1704.033,1943.307,2767.483,2207.963,2215.131,3341.11,0.853,9068.347
2014 January,1240.535,2776.908,672.604,1866.644,1959.644,2800.114,2138.339,2145.805,3578.349,4.412,9593.884
2014 February,1040.42,2323.24,587.389,1629.345,1735.25,2488.248,1981.417,1988.406,3084.762,2.502,8431.741
2014 March,883.309,2065.689,513.567,1620.751,1793.243,2626.872,2205.551,2212.263,3129.905,0.144,8525.719
2014 April,492.635,1424.138,313.882,1348.026,1755.463,2568.023,2214.225,2220.681,2784.665,-2.742,7558.127
2014 May,344.769,1349.588,243.918,1395.049,1726.279,2622.522,2273.393,2280.169,3058.969,-0.969,7646.359
2014 June,258.999,1497.498,204.256,1446.674,1686.608,2585.837,2240.484,2246.877,3386.539,2.416,7779.302
2014 July,245.755,1667.379,198.252,1499.594,1775.902,2693.202,2360.41,2367.1,3646.954,3.711,8230.985
2014 August,241.367,1641.032,199.101,1493.383,1779.064,2704.499,2358.53,2365.144,3625.994,3.861,8207.918
2014 September,268.425,1449.635,217.346,1391.78,1772.538,2608.876,2192.471,2198.612,3198.123,0.656,7649.559
2014 October,368.477,1343.638,276.006,1400.223,1841.442,2686.861,2328.165,2334.38,2951.013,-2.728,7762.375
2014 November,716.15,1761.858,445.739,1541.477,1831.9,2683.767,2207.079,2213.776,3000.011,-2.877,8198.002
2014 December,905.826,2147.585,518.555,1629.453,1901.787,2725.4,2291.273,2297.711,3182.709,-2.842,8797.308
2015 January,1145.536,2548.5,666.656,1803.365,1952.767,2763.486,2178.501,2185.353,3357.244,-0.671,9300.032
2015 February,1090.228,2342.954,639.145,1706.192,1774.482,2550.863,2004.894,2011.97,3103.23,0.71,8612.688
2015 March,803.176,1955.234,498.704,1558.619,1843.253,2627,2289.609,2296.29,3002.401,-2.17,8434.973
2015 April,452.017,1343.708,322.587,1352.369,1748.53,2544.225,2227.134,2233.259,2723.291,-3.349,7470.211
2015 May,311.812,1303.298,250.951,1390.859,1777.906,2641.813,2306.824,2313.166,3001.644,-1.259,7647.878
2015 June,239.676,1486.41,215.746,1451.809,1763.941,2657.463,2298.138,2304.453,3382.634,2.283,7902.419
2015 July,230.375,1735.631,218.58,1543.108,1826.415,2730.851,2412.608,2419.289,3740.9,4.852,8433.73
2015 August,228.617,1687.662,222.367,1519.911,1812.834,2705.06,2392.578,2398.884,3655.121,4.703,8316.221
2015 September,227.822,1452.441,220.881,1414.045,1717.957,2545.299,2268.174,2274.183,3251.133,3.198,7689.166
2015 October,367.002,1335.532,306.922,1406.791,1745.357,2556.93,2317.635,2323.835,2886.172,-1.698,7621.391
2015 November,581.359,1519.155,399.587,1453.37,1727.386,2521.665,2184.054,2190.164,2791.969,-2.771,7681.584
2015 December,786.575,1910.5,479.078,1554.28,1833.689,2620.991,2283.759,2289.992,2992.663,-2.489,8373.274
2016 January,1058.61,2391.909,627.466,1751.449,1928.306,2730.98,2182.011,2188.73,3266.676,-0.414,9062.654
2016 February,855.987,1984.684,531.617,1538.569,1837.455,2584.489,2121.082,2127.372,2888.973,-3.75,8231.365
2016 March,602.407,1582.172,404.652,1438.306,1846.694,2621.279,2344.783,2350.739,2793.958,-6.833,7985.663
2016 April,461.464,1341.057,328.564,1345.719,1720.124,2504.051,2260.429,2266.36,2686.606,-5.261,7451.926
2016 May,324.077,1289.397,264.937,1376.173,1726.804,2561.91,2351.298,2357.254,2917.62,-3.181,7581.554
2016 June,236.496,1528.532,222.222,1464.233,1710.065,2573.465,2359.127,2365.642,3403.962,2.804,7934.676
2016 July,226.604,1816.872,221.987,1561.257,1750.856,2647.659,2430.144,2436.82,3833.017,6.372,8468.979
2016 August,212.586,1770.772,224.066,1568.878,1841.448,2728.906,2455.872,2462.161,3796.744,6.644,8537.361
2016 September,229.949,1477.414,229.905,1420.764,1737.493,2540.374,2297.616,2303.759,3247.348,2.998,7745.309
2016 October,323.705,1318.845,289.689,1397.126,1808.371,2608.315,2321.172,2327.177,2908.527,-0.325,7651.138
2016 November,519.027,1446.099,382.363,1426.912,1806.188,2585.887,2251.468,2257.35,2757.201,-3.127,7713.12
2016 December,980.842,2239.664,594.112,1737.632,1942.463,2758.453,2338.029,2344.806,3225.109,-0.42,9080.134
2017 January,1015.678,2315.662,604.831,1706.374,1939.162,2732.046,2219.578,2226.29,3201.124,1.853,8982.226
2017 February,725.813,1708.489,462.727,1432.474,1711.665,2437.066,2041.043,2047.225,2684.007,-2.273,7622.98
2017 March,736.071,1773.112,481.613,1559.668,1909.88,2719.936,2373.295,2379.783,2931.643,-2.495,8430.005
2017 April,412.713,1310.63,306.753,1322.095,1776.337,2557.21,2259.559,2265.389,2699.961,-3.32,7452.004
2017 May,324.225,1324.512,267.873,1386.13,1821.41,2667.537,2416.976,2422.908,2970.603,-1.335,7799.752
2017 June,250.811,1482.505,229.242,1435.506,1784.418,2642.767,2394.688,2400.998,3302.616,2.41,7964.186
2017 July,226.91,1744.773,218.704,1527.734,1833.966,2723.073,2425.032,2431.409,3722.376,5.442,8432.43
2017 August,222.828,1614.564,224.932,1484.105,1830.737,2704.296,2484.472,2490.744,3530.741,3.727,8297.436
2017 September,231.706,1379.017,228.855,1376.262,1765.286,2572.219,2295.667,2301.637,3107.623,0.439,7629.575
2017 October,333.419,1349.49,293.784,1413.389,1854.646,2673.099,2397.447,2403.635,2960.317,-1.547,7838.066
2017 November,620.001,1617.361,429.818,1494.662,1926.243,2732.238,2280.831,2286.894,2874.263,-1.783,8129.372
2017 December,1008.7,2280.574,617.175,1756.663,1995.072,2831.577,2353.604,2360.524,3254.787,-0.682,9228.656
2018 January,1197.312,2712.568,690.778,1856.557,2054.911,2828.522,2247.86,2255.497,3462.282,2.105,9655.249
2018 February,854.168,1973.816,530.859,1538.114,1803.157,2513.637,2046.888,2053.236,2843.732,-2.063,8076.741
2018 March,827.39,1905.49,527.361,1615.01,1981.178,2755.539,2405.201,2411.505,2946.414,-4.195,8683.35
2018 April,595.753,1550.569,402.166,1435.205,1830.223,2585.424,2311.687,2317.788,2749.156,-5.501,7883.484
2018 May,303.153,1388.666,252.125,1434.256,1881.843,2737.078,2456.356,2462.563,3129.087,-2.983,8019.581
2018 June,245.259,1572.633,225.467,1471.859,1832.567,2668.367,2422.991,2429.431,3416.005,1.301,8143.591
2018 July,235.675,1794.382,221.56,1555.014,1888.057,2754.242,2494.209,2500.728,3764.866,3.218,8607.584
2018 August,226.639,1736.625,225.945,1553.577,1971.776,2856.659,2537.029,2543.8,3729.273,3.323,8693.985
2018 September,238.874,1498.172,228.428,1420.298,1833.469,2629.403,2305.433,2311.789,3253.459,-0.182,7859.481
2018 October,411.601,1447.895,341.455,1467.368,1994.663,2782.031,2405.32,2411.497,2955.75,-6.686,8102.104
2018 November,774.818,1844.311,501.004,1583.43,1942.276,2738.169,2317.863,2324.294,2954.242,-5.314,8484.889
2018 December,976.17,2225.755,602.116,1699.436,1988.695,2765.364,2364.396,2371.121,3130.299,-3.574,9058.102
